 Manufacturer, Model, codename, Device<br />type," data-sort-type=""number"" | Latest CM<br />release"," data-sort-type=""number"" | Current<br />nightly branch"," class=""unsortable"" | Notes"
 Acer Inc.|Acer, Acer Iconia Tab|Iconia Tab A700, a700, tablet, {{sort|110013|11 XNG3C}},11, 
 Advent Computers|Advent, Advent Vega|Vega, vega, tablet, {{sort|072000|7.2}},7, Last nightly was built on 1 March 2013.
 Amazon.com|Amazon, Kindle Fire (1st gen), otter, eReader, {{sort|110012|11 M12}},11, 
 Amazon.com|Amazon, Kindle Fire X (1st gen), otterx, eReader, {{sort|110012|11 M12}},11, 
 Amazon.com|Amazon, Kindle Fire (2nd gen), otter2, eReader, {{sort|110012|11 M12}},11, 
 Amazon.com|Amazon, Kindle Fire HD|Kindle Fire HD 7, tate, eReader, {{sort|110012|11 M12}},12.1, 
 Amazon.com|Amazon, Kindle Fire HD|Kindle Fire HD 8.9, jem, eReader, {{sort|110012|11 M12}},12.1, 
 Asus, Asus Eee Pad Transformer|Eee Pad Transformer, tf101, tablet, {{sort|091000|9.1}},10, Last nightly was built on 29 September 2013 
 Asus, Asus Eee Pad Transformer Prime|Eee Pad Transformer Prime, tf201, tablet, {{sort|091000|9.1}},10.1, Last nightly was built on 16 February 2014  
 Asus, Asus Transformer Pad Infinity|Transformer Pad Infinity, tf700t, tablet, {{sort|110012|11 M12}},11, 
 Asus, Asus Transformer Pad TF300T|Transformer Pad TF300T, tf300t, tablet, {{sort|110013|11 XNG3C}},12.1, 
 Asus, Asus Transformer Pad TF701T|Transformer Pad TF701T, tf701t, tablet, {{sort|110013|11 XNG3C}},11, 
 Barnes & Noble, Nook Color, encore, eReader, {{sort|110012|11 M12}},11, 
 Barnes & Noble, Nook HD, hummingbird, eReader, {{sort|110012|11 M12}},11, 
 Barnes & Noble, Nook HD+, ovation, eReader, {{sort|110012|11 M12}},11, 
 Barnes & Noble, Nook Tablet, acclaim, eReader, {{sort|110013|11 XNG3C}},12.1, 
 Commtiva, Z71, z71, phone, {{sort|071000|7.1}}, {{N/A}}, Sold under several additional names. Last nightly was built on 17 November 2011.
 GeeksPhone, GeeksPhone One|One, one, phone, {{sort|071000|7.1}},7, Last nightly was built on 3 June 2012.
 GeeksPhone, Zero, zero, phone, {{sort|072000|7.2}},7, Last nightly was built on 1 March 2013.
